food_product,land_use_change,animal_feed,farm,processing,transport,packging,retail,total_emissions,eutrophying_emissions_1000kcal,eutrophying_emissions_kilogram,eutrophying_emissions_100gprotein,eutrophying_emissions_total,freshwater_withdrawals_1000kcal,freshwater_withdrawals_100gprotein,freshwater_withdrawals_kilogram,freshwater_withdrawals_total,greenhouse_emissions_1000kcal,greenhouse_emissions_100gprotein,greenhouse_emissions_total,land_use_1000kcal,land_use_kilogram,land_use_100gprotein,land_use_total,scarcity_weighted_water_kilogram,scarcity_weighted_water_100gprotein,scarcity_weighted_water_1000kcal,scarcity_weighted_water_total
Wheat & Rye (Bread),0.1,0,0.8,0.2,0.1,0.1,0.1,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maize (Meal),0.3,0,0.5,0.1,0.1,0.1,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barley (Beer),0,0,0.2,0.1,0,0.5,0.3,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oatmeal,0,0,1.4,0,0.1,0.1,0,1.6,4.281357225,11.23,8.638461538,24.14981876,183.9115517,371.0769231,482.4,1037.388475,0.945482272,1.907692308,2.85317458,2.897445673,7.6,5.846153846,16.34359952,18786.2,14450.92308,7162.104461,40399.22754
Rice,0,0,3.6,0.1,0.1,0.1,0.1,4,9.51437873,35.07,49.3943662,93.97874493,609.9837222,3166.760563,2248.4,6025.144285,1.207270754,6.267605634,7.474876388,0.759631036,2.8,3.943661972,7.503293008,49576.3,69825.77465,13449.89148,132851.9661
Potatoes,0,0,0.2,0,0.1,0,0,0.3,4.754098361,3.48,20.47058824,28.7046866,80.73770492,347.6470588,59.1,487.4847637,0.628415301,2.705882353,3.334297654,1.202185792,0.88,5.176470588,7.25865638,2754.2,16201.17647,3762.568306,22717.94478
Cassava,0.6,0,0.2,0,0.1,0,0,0.9,0.708418891,0.69,7.666666667,9.065085558,0,0,0,0,1.35523614,14.66666667,16.02190281,1.858316222,1.81,20.11111111,23.77942733,0,0,0,0
Cane Sugar,1.2,0,0.5,0,0.8,0.1,0,2.6,4.820512821,16.92,0,21.74051282,176.6666667,0,620.1,796.7666667,0.911680912,0,0.911680912,0.581196581,2.04,0,2.621196581,16438.6,0,4683.361823,21121.96182
Beet Sugar,0,0,0.5,0.2,0.6,0.1,0,1.4,1.541310541,5.41,0,6.951310541,62.02279202,0,217.7,279.722792,0.515669516,0,0.515669516,0.521367521,1.83,0,2.351367521,9493.3,0,2704.643875,12197.94388
Other Pulses,0,0,1.1,0,0.1,0.4,0,1.6,5.008797654,17.08,7.97758057,30.06637822,0,203.503036,435.7,639.203036,0.524926686,0.836057917,1.360984603,4.565982405,15.57,7.272302662,27.40828507,22477.4,10498.55208,0,32975.95208
Peas,0,0,0.7,0,0.1,0,0,0.8,2.173410405,7.52,3.384338434,13.07774884,0,178.4878488,396.6,575.0878488,0.283236994,0.441044104,0.724281098,2.156069364,7.46,3.357335734,12.9734051,27948.2,12577.94779,0,40526.14779
Nuts,-2.1,0,2.1,0,0.1,0.1,0,0.2,3.113821138,19.15,11.72688304,33.99070418,672.1626016,2531.414574,4133.8,7337.377176,0.069918699,0.263319045,0.333237744,2.107317073,12.96,7.936313533,23.00363061,229889.8,140777.5873,37380.45528,408047.8426
Groundnuts,0.4,0,1.4,0.4,0.1,0.1,0,2.4,2.437931034,14.14,5.401069519,21.97900055,319.362069,707.5248281,1852.3,2879.186897,0.556896552,1.233766234,1.790662786,1.570689655,9.11,3.479755539,14.16044519,61797.9,23605.00382,10654.81034,96057.71416
Soymilk,0.2,0,0.1,0.2,0.1,0.1,0.3,1,0,1.06,0,1.06,0,0,27.8,27.8,0,0,0,0,0.66,0,0.66,955.6,0,0,955.6
Tofu,1,0,0.5,0.8,0.2,0.2,0.3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Soybean Oil,3.1,0,1.5,0.3,0.3,0.8,0,6,0,11.69,0,11.69,0,0,414.6,414.6,0,0,0,0,10.52,0,10.52,14888.2,0,0,14888.2
Palm Oil,3.1,0,2.1,1.3,0.2,0.9,0,7.6,1.207013575,10.67,0,11.87701358,0.7239819,0,6.4,7.1239819,0.828054299,0,0.828054299,0.273755656,2.42,0,2.693755656,36.2,0,4.095022624,40.29502262
Sunflower Oil,0.1,0,2.1,0.2,0.2,0.9,0,3.5,5.730769231,50.66,0,56.39076923,114.0158371,0,1007.9,1121.915837,0.407239819,0,0.407239819,1.997737557,17.66,0,19.65773756,36369.4,0,4114.18552,40483.58552
Rapeseed  Oil,0.2,0,2.3,0.2,0.2,0.8,0,3.7,2.17081448,19.19,0,21.36081448,26.88914027,0,237.7,264.5891403,0.426470588,0,0.426470588,1.202488688,10.63,0,11.83248869,10593.7,0,1198.382353,11792.08235
Olive Oil,-0.4,0,4.3,0.7,0.5,0.9,0,6,4.214932127,37.26,0,41.47493213,242.2850679,0,2141.8,2384.085068,0.613122172,0,0.613122172,2.976244344,26.31,0,29.28624434,177480.2,0,20076.9457,197557.1457
Tomatoes,0.4,0,0.7,0,0.2,0.1,0,1.4,39.52631579,7.51,68.27272727,115.3090431,1946.315789,3361.818182,369.8,5677.933971,11,19,30,4.210526316,0.8,7.272727273,12.28325359,5335.7,48506.36364,28082.63158,81924.69522
Onions and Leeks,0,0,0.2,0,0.1,0,0,0.3,8.756756757,3.24,24.92307692,36.91983368,38.64864865,110,14.3,162.9486487,1.351351351,3.846153846,5.197505197,1.054054054,0.39,3,4.444054054,932,7169.230769,2518.918919,10620.14969
Root Vegetables,0,0,0.2,0,0.1,0,0,0.3,4.351351351,1.61,16.1,22.06135135,76.75675676,284,28.4,389.1567568,1.162162162,4.3,5.462162162,0.891891892,0.33,3.3,4.521891892,929.2,9292,2511.351351,12732.55135
Brassicas,0,0,0.3,0,0.1,0,0,0.4,29.47058824,5.01,45.54545455,80.02604279,702.3529412,1085.454545,119.4,1907.207486,3,4.636363636,7.636363636,3.235294118,0.55,5,8.785294118,8455.1,76864.54545,49735.88235,135055.5278
Other Vegetables,0,0,0.2,0.1,0.2,0,0,0.5,0,2.27,0,2.27,0,0,102.5,102.5,0,0,0,0,0.38,0,0.38,4911.4,0,0,4911.4
Citrus  Fruit,-0.1,0,0.3,0,0.1,0,0,0.3,7,2.24,37.33333333,46.57333333,258.4375,1378.333333,82.7,1719.470833,1.21875,6.5,7.71875,2.6875,0.86,14.33333333,17.88083333,4662.7,77711.66667,14570.9375,96945.30417
Bananas,0,0,0.3,0.1,0.3,0.1,0,0.8,5.483333333,3.29,36.55555556,45.32888889,190.8333333,1272.222222,114.5,1577.555555,1.433333333,9.555555556,10.98888889,3.216666667,1.93,21.44444444,26.59111111,661.9,7354.444444,1103.166667,9119.511111
Apples,0,0,0.2,0,0.1,0,0,0.3,3.020833333,1.45,48.33333333,52.80416666,375.2083333,6003.333333,180.1,6558.641666,0.895833333,14.33333333,15.22916666,1.3125,0.63,21,22.9425,12948.6,431620,26976.25,471544.85
Berries and Grapes,0,0,0.7,0,0.2,0.2,0,1.1,10.73684211,6.12,61.2,78.05684211,736.1403509,4196,419.6,5351.740351,2.684210526,15.3,17.98421053,4.228070175,2.41,24.1,30.73807018,21162.1,211621,37126.49123,269909.5912
Wine,-0.1,0,0.6,0.1,0.1,0.7,0,1.4,0,4.57,0,4.57,0,0,78.9,78.9,0,0,0,0,1.78,0,1.78,1149.3,0,0,1149.3
Other Fruit,0.1,0,0.4,0,0.2,0,0,0.7,0,2.43,0,2.43,0,0,153.5,153.5,0,0,0,0,0.89,0,0.89,9533.1,0,0,9533.1
Coffee,3.7,0,10.4,0.6,0.1,1.6,0.1,16.5,197.3571429,110.52,138.15,446.0271429,46.25,32.375,25.9,104.525,50.94642857,35.6625,86.60892857,38.60714286,21.62,27.025,87.25214286,337,421.25,601.7857143,1360.035714
Dark Chocolate,14.3,0,3.7,0.2,0.1,0.4,0,18.7,16.84332689,87.08,174.16,278.0833269,104.5647969,1081.2,540.6,1726.364797,9.023210832,93.3,102.3232108,13.3384913,68.96,137.92,220.2184913,2879.2,5758.4,556.9052224,9194.505222
Beef  (beef  herd),16.3,1.9,39.4,1.3,0.3,0.2,0.2,59.6,110.4065934,301.41,151.1584754,562.9750688,531.5750916,727.7833501,1451.2,2710.558442,36.43956044,49.88966901,86.32922945,119.4908425,326.21,163.5957874,609.2966299,34732.5,17418.50552,12722.52747,64873.53299
Beef  (dairy herd),0.9,2.5,15.7,1.1,0.4,0.3,0.2,21.1,133.8058608,365.29,185.0506586,684.1465194,994.2490842,1375.025329,2714.3,5083.574413,12.1978022,16.86930091,29.06710311,15.83882784,43.24,21.9047619,80.98358974,119805.2,60691.59068,43884.68864,224381.4793
Lamb and Mutton,0.5,2.4,19.5,1.1,0.5,0.3,0.2,24.5,30.64037855,97.13,48.54072964,176.3111082,568.7066246,900.9495252,1802.8,3272.45615,12.52996845,19.85007496,32.38004341,116.659306,369.81,184.8125937,671.2818997,141925,70927.03648,44771.29338,257623.3299
Pig Meat,1.5,2.9,1.7,0.3,0.3,0.3,0.2,7.2,31.958159,76.38,47.20642769,155.5445867,751.3807531,1109.888752,1795.8,3657.069505,5.150627615,7.60815822,12.75878584,7.263598326,17.36,10.72929543,35.35289376,66867.4,41327.19407,27977.99163,136172.5857
Poultry  Meat,2.5,1.8,0.7,0.4,0.3,0.2,0.2,6.1,26.32432432,48.7,28.11778291,103.1421072,356.7567568,381.0623557,660,1397.819113,5.335135135,5.698614319,11.03374945,6.605405405,12.22,7.055427252,25.88083266,14177.9,8185.854503,7663.72973,30027.48423
Milk,0.5,0.2,1.5,0.1,0.1,0.1,0.3,2.8,17.75,10.65,32.27272727,60.67272727,1047,1903.636364,628.2,3578.836364,5.25,9.5,14.75,14.91666667,8.95,27.12121212,50.98787879,19786.3,59958.48485,32977.16667,112721.9515
Cheese,4.5,2.3,13.1,0.7,0.1,0.2,0.3,21.2,25.41860465,98.37,44.55163043,168.3402351,1448.372093,2538.586957,5605.2,9592.15905,6.170542636,10.81521739,16.98576003,22.68475452,87.79,39.75996377,150.2347183,180850.6,81906.97464,46731.42119,309488.9958
Eggs,0.7,2.2,1.3,0,0.1,0.2,0,4.5,15.11111111,21.76,19.61067051,56.48178162,401.1805556,520.6380678,577.7,1499.518623,3.243055556,4.208723864,7.45177942,4.354166667,6.27,5.650684932,16.2748516,17982.7,16206.4708,12487.98611,46677.15691
Fish  (farmed),0.5,0.8,3.6,0,0.1,0.1,0,5.1,131.3519553,235.12,103.1001973,469.5721526,2062.178771,1618.636264,3691.3,7372.115035,7.61452514,5.976759483,13.59128462,4.698324022,8.41,3.687787766,16.79611179,41572.2,18229.42337,23224.69274,83026.31611
Shrimps (farmed),0.2,2.5,8.4,0,0.2,0.3,0.2,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0