Month,crash2018,crash2019,crash2020,crash2021,crash_total,fatality2018,fatality2019,fatality2020,fatality2021,fatality_total,rape2018,rape2019,rape2020,rape2021,rape_total,aggravated_assault2018,aggravated_assault2019,aggravated_assault2020,aggravated_assault2021,aggravated_assault_total,murder2018,murder2019,murder2020,murder2021,murder_total,burglary2018,burglary2019,burglary2020,burglary2021,burglary_total
January,48,41,45,47,181,52,44,49,49,194,130,123,156,104,513,1015,993,1347,1152,4507,5,7,15,11,38,942,853,849,780,3424
February,36,35,34,25,130,41,40,34,26,141,131,132,133,116,512,870,834,1048,1071,3823,9,7,13,12,41,842,672,800,598,2912
March,23,30,34,53,140,24,34,36,55,149,158,129,97,124,508,1071,993,1272,1225,4561,4,7,10,9,30,856,702,892,697,3147
April,41,40,27,41,149,45,41,28,42,156,127,110,76,116,429,1093,1091,1136,1220,4540,7,2,4,5,18,908,832,795,700,3235
May,46,43,44,45,178,50,44,52,45,191,173,108,96,164,541,1205,1180,1323,1497,5205,12,10,15,16,53,1012,902,788,677,3379
June,48,44,44,61,197,51,45,47,63,206,136,113,128,151,528,1212,1217,1527,1585,5541,7,7,15,10,39,1020,918,853,859,3650
July,55,42,57,62,216,59,49,62,68,238,135,120,167,148,570,1304,1330,1704,1615,5953,5,9,31,8,53,1094,1039,861,890,3884
August,36,50,51,62,199,36,52,54,66,208,148,126,153,180,607,1191,1200,1684,1469,5544,8,15,14,15,52,1158,946,951,871,3926
September,43,64,57,67,231,44,65,57,69,235,162,139,152,150,603,1139,1116,1400,1437,5092,2,10,11,7,30,1073,937,868,876,3754
October,53,56,55,80,244,59,60,58,82,259,145,157,116,146,564,1138,1331,1399,1510,5378,5,21,12,12,50,1085,1054,972,956,4067
November,51,29,59,67,206,55,31,63,71,220,98,154,126,136,514,998,1171,1294,1257,4720,7,12,7,12,38,955,945,907,825,3632
December,44,47,43,57,191,47,50,47,61,205,126,122,100,108,456,1043,1290,1225,1310,4868,6,7,15,17,45,874,891,874,885,3524